[2025-07-04 18:36:39] 🔥 Sniffing started...
[2025-07-04 18:36:40] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1302, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1189, Protocol=6
[2025-07-04 18:36:40] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:40] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1455, Protocol=6
[2025-07-04 18:36:40] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=1306, Protocol=6
[2025-07-04 18:36:40] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:40] ✅ Safe packet: Size=2974, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=765, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1303, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=901, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1460, Protocol=6
[2025-07-04 18:36:41] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:41] ✅ Safe packet: Size=1308, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=423, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1302, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:42] ✅ Safe packet: Size=672, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:42] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1460, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1305, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=55, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=66, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:43] ✅ Safe packet: Size=423, Protocol=6
[2025-07-04 18:36:43] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1183, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=774, Protocol=6
[2025-07-04 18:36:44] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:44] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=500, Protocol=6
[2025-07-04 18:36:44] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1302, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:44] ✅ Safe packet: Size=1210, Protocol=6
[2025-07-04 18:36:44] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:44] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1457, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1305, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=1514, Protocol=6
[2025-07-04 18:36:45] ✅ Safe packet: Size=423, Protocol=6
[2025-07-04 18:36:45] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=1183, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=1494, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=375, Protocol=6
[2025-07-04 18:36:46] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:46] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:46] ✅ Safe packet: Size=500, Protocol=6
[2025-07-04 18:36:46] 🚨 Suspicious packet: Size=54, Protocol=6
[2025-07-04 18:36:46] 🛑 Sniffing stopped.
[2025-07-04 18:36:48] ✅ Safe packet: Size=1494, Protocol=6
